DateTime,Outdoor global irradiation(W m⁻²),Outdoor air temperature(°C),Outdoor vapor concentration(kg m⁻³),Outdoor CO2 concentration(kg{CO2} m⁻³{air}),Outdoor wind speed(m s⁻¹),Sky temperature(°C),Temperature of external soil layer (°C),Daily light sum (MJ m⁻² day⁻¹),Elevation (m),Outdoor vapor pressure (Pa)
726187.875,0,5.0,0.005088675925678918,0.0007905670975291559,2.1,-7.114517177073878,6.021464292546723,7.2612000000000005,35.0,3.452616356877892e-07
726187.9166666666,0,6.0,0.005433945742947135,0.0007877350463110682,2.6,-5.951238527387773,6.023954549335299,7.2612000000000005,35.0,3.9370355116391067e-07
726187.9583333334,0,6.0,0.005433945742947135,0.0007877350463110682,2.6,-5.951238527387773,6.0264483345823745,7.2612000000000005,35.0,3.9370355116391067e-07
726188.0,0,6.0,0.005868661402382906,0.0007877350463110682,2.1,-5.720397049500946,6.028945647004998,6.717599999999999,35.0,4.251998352570235e-07
726188.0416666666,0,6.0,0.0063033770618186775,0.0007877350463110682,2.1,-5.490151805736218,6.0314464853183996,6.717599999999999,35.0,4.5669611935013643e-07
726188.0833333334,0,6.0,0.0063033770618186775,0.0007877350463110682,3.1,-5.490151805736218,6.033950848236005,6.717599999999999,35.0,4.5669611935013643e-07
726188.125,0,6.0,0.0063033770618186775,0.0007877350463110682,2.6,-5.490151805736218,6.036458734469416,6.717599999999999,35.0,4.5669611935013643e-07
726188.1666666666,0,6.0,0.0063033770618186775,0.0007877350463110682,4.1,-5.490151805736218,6.038970142728425,6.717599999999999,35.0,4.5669611935013643e-07
726188.2083333334,0,6.0,0.0063033770618186775,0.0007877350463110682,3.6,-5.490151805736218,6.041485071721014,6.717599999999999,35.0,4.5669611935013643e-07
726188.25,2,7.0,0.006263397420547054,0.0007849232131991243,4.6,-4.575062054595946,6.044003520153352,6.717599999999999,35.0,4.843228055273517e-07
726188.2916666666,31,7.0,0.006263397420547054,0.0007849232131991243,5.7,-4.575062054595946,6.046525486729802,6.717599999999999,35.0,4.843228055273517e-07
